person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
26,male,Associate,333566,2,RENT,20000,VENTURE,11.48,0.06,3,602,Yes,0
23,male,Bachelor,333399,1,RENT,35000,PERSONAL,11.01,0.1,4,609,No,0
25,male,Master,154793,1,RENT,30000,PERSONAL,7.29,0.19,4,573,Yes,0
-22,male,Associate,15229,1,RENT,1750,VENTURE,11.01,0.11,3,631,Yes,0
21,female,Bachelor,158338,0,RENT,30000,VENTURE,5.99,0.19,4,623,Yes,0
22,female,Bachelor,331034,0,RENT,12000,VENTURE,11.58,0.04,2,602,Yes,0
26,female,High School,316466,6,RENT,10000,EDUCATION,11.01,0.03,4,579,No,1
-25,female,Associate,267671,0,RENT,25000,MEDICAL,15.7,0.09,2,582,No,1
22,male,Master,85191,0,RENT,29100,EDUCATION,15.99,0.34,3,700,No,1
22,male,Associate,15013,0,RENT,1500,EDUCATION,14.84,0.1,3,688,No,0
26,male,Bachelor,313100,3,RENT,28000,HOMEIMPROVEMENT,10.99,0.09,3,607,Yes,0
25,female,Bachelor,311952,0,RENT,20000,HOMEIMPROVEMENT,14.42,0.06,2,661,Yes,0
24,male,High School,306897,5,RENT,9600,EDUCATION,6.99,0.03,2,562,Yes,0
25,female,Bachelor,301136,0,RENT,25000,MEDICAL,13.49,0.08,4,664,Yes,0
25,male,High School,15162,1,RENT,3000,MEDICAL,11.01,0.2,3,564,No,1
22,male,Associate,69042,0,RENT,28000,MEDICAL,11.01,0.41,2,598,No,1
21,female,High School,15307,0,RENT,3000,EDUCATION,13.61,0.2,3,557,No,1
23,female,Associate,79183,0,RENT,28000,EDUCATION,7.9,0.35,2,677,No,1
22,male,Bachelor,102654,4,RENT,28000,VENTURE,7.49,0.27,3,690,No,1
350,male,Associate,15229,1,RENT,6100,EDUCATION,7.51,0.4,3,599,No,1
22,male,High School,106566,0,RENT,28000,VENTURE,9.91,0.26,3,604,No,1
21,female,Bachelor,15252,0,RENT,4200,PERSONAL,13.48,0.28,4,663,No,1
22,male,Bachelor,15432,3,RENT,4750,DEBTCONSOLIDATION,7.14,0.31,2,601,No,1
24,male,High School,100332,1,RENT,28000,VENTURE,15.99,0.28,4,634,No,1
24,male,Bachelor,300951,2,RENT,18000,EDUCATION,12.98,0.06,3,671,No,0
144,male,Bachelor,300616,125,RENT,4800,VENTURE,13.57,0.02,3,789,No,0
25,female,Bachelor,121062,1,RENT,28000,DEBTCONSOLIDATION,12.69,0.23,3,622,No,0
26,male,Associate,133372,1,RENT,28000,EDUCATION,8.9,0.21,2,538,Yes,0
26,male,Bachelor,15505,0,RENT,2700,DEBTCONSOLIDATION,11.01,0.17,4,587,No,1
22,male,Master,130852,0,RENT,28000,EDUCATION,11.01,0.21,4,683,No,1
23,male,Associate,182316,0,RENT,28000,DEBTCONSOLIDATION,11.11,0.15,2,634,Yes,0
24,female,Bachelor,83853,3,RENT,27600,HOMEIMPROVEMENT,11.01,0.33,2,690,No,1
21,female,Bachelor,15394,0,RENT,3250,DEBTCONSOLIDATION,15.68,0.21,3,518,No,1
22,female,Bachelor,85243,0,RENT,27500,EDUCATION,13.06,0.32,3,583,No,1
22,male,Associate,288907,2,RENT,25000,PERSONAL,11.01,0.09,2,617,Yes,0
26,male,Associate,89074,4,RENT,27050,VENTURE,15.62,0.3,2,668,No,1
22,male,Master,100509,2,RENT,27000,PERSONAL,13.49,0.27,2,673,No,1
24,male,High School,88950,3,RENT,27000,VENTURE,11.01,0.3,3,706,No,1
23,female,High School,75894,1,RENT,26000,MEDICAL,11.71,0.34,2,536,No,1
22,male,Associate,145092,0,RENT,25600,EDUCATION,12.69,0.18,3,557,Yes,0
22,female,Bachelor,15928,1,RENT,1600,MEDICAL,13.57,0.1,3,689,Yes,0
22,male,Bachelor,73131,3,RENT,25475,VENTURE,10.99,0.35,3,681,No,1
25,male,Master,281501,4,RENT,20000,MEDICAL,14.27,0.07,4,623,Yes,0
24,female,Associate,281775,0,RENT,20000,HOMEIMPROVEMENT,8.88,0.07,4,595,Yes,0
26,male,Bachelor,281792,1,RENT,21600,HOMEIMPROVEMENT,12.18,0.08,3,584,Yes,0
25,male,Bachelor,266090,4,RENT,11900,DEBTCONSOLIDATION,14.42,0.04,3,669,No,1
26,male,High School,279664,3,RENT,25000,MEDICAL,14.17,0.09,2,642,Yes,0
25,female,High School,277017,4,RENT,35000,MEDICAL,13.99,0.13,4,622,Yes,0
23,male,Associate,100756,0,RENT,25300,EDUCATION,10.99,0.25,3,689,No,1
22,male,High School,16218,1,RENT,2000,PERSONAL,5.42,0.12,4,614,No,1
22,female,Bachelor,16211,2,RENT,1750,PERSONAL,13.61,0.11,3,597,Yes,0
21,female,Bachelor,51922,3,RENT,25000,EDUCATION,12.73,0.48,3,673,No,1
24,male,Associate,50309,3,RENT,25000,HOMEIMPROVEMENT,11.01,0.5,3,625,No,1
25,male,High School,16378,0,RENT,3000,DEBTCONSOLIDATION,12.87,0.18,4,603,No,1
24,male,Bachelor,16572,0,RENT,3650,HOMEIMPROVEMENT,9.91,0.22,3,589,No,1
26,male,Master,272201,5,RENT,20000,HOMEIMPROVEMENT,11.49,0.07,4,670,Yes,0
25,female,Bachelor,271324,3,RENT,30000,HOMEIMPROVEMENT,19.91,0.11,2,637,Yes,0
26,male,Associate,256862,2,RENT,35000,EDUCATION,10.65,0.14,2,643,No,1
24,male,High School,271342,0,RENT,6000,MEDICAL,11.01,0.02,4,508,Yes,0
24,male,High School,16470,2,RENT,4500,DEBTCONSOLIDATION,11.83,0.27,4,643,No,1
23,male,High School,16599,0,RENT,2400,DEBTCONSOLIDATION,13.49,0.14,2,505,No,1
22,male,Bachelor,51608,0,RENT,25000,MEDICAL,14.59,0.48,2,593,No,1
26,female,Master,58516,6,RENT,25000,EDUCATION,9.64,0.43,4,686,No,1
25,female,Associate,16395,4,RENT,3600,MEDICAL,14.59,0.22,3,646,No,1
22,female,Bachelor,16890,0,RENT,4750,EDUCATION,11.01,0.28,3,645,No,1
25,female,Associate,51747,3,RENT,25000,EDUCATION,16.35,0.48,3,697,No,1
21,male,High School,59864,0,RENT,25000,EDUCATION,10.99,0.42,2,648,No,1
22,male,Master,270972,1,RENT,25000,VENTURE,18.67,0.09,2,640,Yes,0
22,male,Bachelor,270870,5,RENT,3000,EDUCATION,9.32,0.01,4,681,No,0
23,female,Associate,270729,0,RENT,7500,DEBTCONSOLIDATION,8.63,0.03,2,646,No,0
26,male,Bachelor,270877,4,RENT,25000,VENTURE,10.08,0.09,2,615,Yes,0
22,male,Associate,60501,0,RENT,25000,PERSONAL,11.83,0.41,3,687,No,1
23,male,High School,60754,1,RENT,25000,DEBTCONSOLIDATION,7.9,0.41,3,650,No,1
25,male,Bachelor,60829,0,RENT,25000,HOMEIMPROVEMENT,5.99,0.41,2,588,No,1
24,male,Bachelor,53825,2,RENT,25000,DEBTCONSOLIDATION,15.33,0.46,2,652,No,1
23,male,High School,60801,0,RENT,25000,VENTURE,11.83,0.41,4,658,No,1
22,male,High School,60747,0,RENT,25000,VENTURE,10.36,0.41,2,634,No,1
22,female,High School,61029,0,RENT,25000,VENTURE,12.23,0.41,3,623,No,1
22,female,Associate,63236,0,RENT,25000,EDUCATION,11.11,0.4,4,635,No,1
23,female,Bachelor,17149,0,RENT,4950,DEBTCONSOLIDATION,7.9,0.29,4,531,No,1
24,female,Master,265066,4,RENT,25000,EDUCATION,11.58,0.09,2,665,Yes,0
23,male,Associate,260205,2,RENT,21000,DEBTCONSOLIDATION,8.9,0.08,3,703,No,0
25,female,Associate,260035,5,RENT,25000,EDUCATION,16.07,0.1,3,585,Yes,0
26,female,Bachelor,260444,4,RENT,20000,EDUCATION,14.22,0.08,2,594,No,0
23,male,Bachelor,258980,0,RENT,35000,MEDICAL,14.79,0.14,3,618,Yes,0
22,male,High School,259081,2,RENT,12000,EDUCATION,7.88,0.05,2,626,Yes,0
23,male,High School,63497,0,RENT,25000,PERSONAL,13.22,0.39,2,695,No,1
26,female,Doctorate,56325,2,RENT,25000,DEBTCONSOLIDATION,11.86,0.44,4,690,No,1
22,male,Bachelor,64842,0,RENT,25000,EDUCATION,13.43,0.39,4,574,No,1
26,female,High School,57856,0,RENT,25000,HOMEIMPROVEMENT,15.28,0.43,2,602,No,1
23,male,Associate,57318,0,RENT,25000,VENTURE,17.93,0.44,2,679,No,1
23,female,High School,16916,2,RENT,1400,EDUCATION,9.25,0.08,4,615,No,0
21,male,Master,16664,0,RENT,4500,VENTURE,12.98,0.27,4,601,No,1
22,male,Associate,252803,0,RENT,16000,VENTURE,10.62,0.06,4,577,Yes,0
22,female,Associate,253061,3,RENT,22000,PERSONAL,11.83,0.09,4,588,Yes,0
26,male,Bachelor,58602,8,RENT,25000,VENTURE,18.43,0.43,2,595,No,1
22,male,High School,67012,2,RENT,25000,EDUCATION,11.01,0.37,4,653,No,1
24,female,Master,66643,3,RENT,25000,HOMEIMPROVEMENT,11.01,0.38,4,663,No,1
23,male,Bachelor,66599,0,RENT,25000,EDUCATION,11.36,0.38,3,653,No,1
23,male,Associate,67212,2,RENT,25000,EDUCATION,15.65,0.37,3,598,No,1
24,female,High School,66918,1,RENT,25000,PERSONAL,13.22,0.37,4,630,No,1
26,male,Associate,68066,2,RENT,25000,DEBTCONSOLIDATION,12.87,0.37,2,637,No,1
24,male,Associate,245545,1,RENT,20000,MEDICAL,13.04,0.08,3,660,Yes,0
23,male,Associate,229083,0,RENT,22000,EDUCATION,17.58,0.1,3,639,No,1
23,male,High School,17859,0,RENT,7750,PERSONAL,17.04,0.43,4,626,No,1
22,female,Associate,72608,3,RENT,25000,PERSONAL,10.99,0.34,3,612,No,1
24,male,Bachelor,73073,1,RENT,25000,PERSONAL,11.11,0.34,3,628,No,1
26,female,Master,65880,2,RENT,25000,DEBTCONSOLIDATION,14.83,0.38,2,592,No,1
23,male,High School,17755,1,RENT,4000,DEBTCONSOLIDATION,11.01,0.23,3,580,No,1
24,male,Bachelor,241180,3,RENT,12000,MEDICAL,12.69,0.05,2,634,No,0
24,male,Associate,240894,3,RENT,12000,HOMEIMPROVEMENT,13.49,0.05,2,678,No,0
21,male,High School,240980,0,RENT,16000,EDUCATION,14.65,0.07,4,557,Yes,0
25,male,Bachelor,65742,3,RENT,25000,HOMEIMPROVEMENT,16.82,0.38,4,672,No,1
23,male,Bachelor,72713,0,RENT,25000,PERSONAL,12.73,0.34,3,613,No,1
23,male,High School,72627,3,RENT,25000,PERSONAL,10.25,0.34,4,566,No,1
21,male,Associate,72843,0,RENT,25000,EDUCATION,10.99,0.34,4,718,No,1
25,male,High School,75504,4,RENT,25000,MEDICAL,12.73,0.33,2,484,No,1
22,female,High School,68824,0,RENT,25000,HOMEIMPROVEMENT,14.96,0.36,3,634,No,1
23,female,Bachelor,241167,2,RENT,28000,EDUCATION,11.01,0.12,2,653,Yes,0
21,male,Bachelor,241060,0,RENT,25000,DEBTCONSOLIDATION,13.99,0.1,2,699,No,0
24,male,High School,240855,0,RENT,24000,VENTURE,7.49,0.1,4,656,Yes,0
22,male,High School,241030,3,RENT,15000,EDUCATION,14.79,0.06,3,626,Yes,0
25,male,High School,240895,2,RENT,15500,DEBTCONSOLIDATION,11.99,0.06,2,659,No,0
24,female,High School,240932,4,RENT,10000,EDUCATION,8.49,0.04,4,604,Yes,0
24,male,Associate,80145,1,RENT,25000,EDUCATION,9.91,0.31,2,636,No,1
22,male,Master,80303,0,RENT,25000,EDUCATION,13.06,0.31,3,554,No,1
22,male,High School,241048,0,RENT,9000,DEBTCONSOLIDATION,6.17,0.04,4,587,Yes,0
144,male,Associate,241424,121,RENT,6000,EDUCATION,11.86,0.02,2,807,No,0
25,male,Bachelor,241005,4,RENT,18000,EDUCATION,16.32,0.07,3,708,Yes,0
22,female,Master,240768,2,RENT,12000,VENTURE,10.38,0.05,2,669,Yes,0
25,male,Associate,241201,2,RENT,23050,PERSONAL,14.35,0.1,3,578,No,0
24,male,Bachelor,240920,5,RENT,20000,DEBTCONSOLIDATION,11.01,0.08,3,615,No,0
22,,Master,72919,1,RENT,25000,DEBTCONSOLIDATION,11.01,0.34,2,553,No,1
21,male,Master,18008,0,RENT,3000,HOMEIMPROVEMENT,11.01,0.17,4,635,No,1
26,female,Associate,81238,3,RENT,25000,PERSONAL,15.21,0.31,2,531,No,1
23,male,High School,80868,1,RENT,25000,EDUCATION,7.9,0.31,4,621,No,1
22,male,Bachelor,81537,1,RENT,25000,VENTURE,10.99,0.31,3,674,No,1
24,female,Associate,82741,0,RENT,25000,PERSONAL,14.09,0.3,3,688,No,1
25,female,High School,83901,3,RENT,25000,PERSONAL,17.49,0.3,2,597,No,1
22,male,Associate,240717,1,RENT,12000,EDUCATION,11.48,0.05,3,640,No,0
26,,Associate,226744,0,RENT,20000,VENTURE,17.74,0.09,2,621,No,1
26,female,Bachelor,241114,5,RENT,3000,PERSONAL,13.92,0.01,3,608,Yes,0
25,male,Bachelor,85284,3,RENT,25000,EDUCATION,15.21,0.29,3,653,No,1
22,female,Bachelor,18152,0,RENT,4000,MEDICAL,10.99,0.22,3,585,No,1
